Participant,Delay,Environment,Reward_F,Reward_W,Reward_M
2,Short,3,0.7475690434483407,0.6837054598173475,0.6841144782512476
4,Short,3,0.8189179183833944,0.9342661552037336,0.8949794188141014
6,Short,3,0.7992703753316738,0.7427897147829625,0.7271769461590056
7,Short,3,0.38268630296173795,0.555092163779422,0.5967323921362542
8,Long,3,0.6158244905439771,0.684464236188834,0.5832838546587075
10,Short,3,0.5014478483135,0.6600224281404905,0.5487684797229045
12,Short,3,0.7441255007915608,0.6732979621994939,0.6761710892898913
14,Long,3,0.6622233488883598,0.7005034859062268,0.6826337295110726
16,Short,3,0.676061595176526,0.8329944708807561,0.7785885741089585
18,Long,3,0.6751960045254937,0.6539857985316689,0.6584037219015522
20,Short,3,0.7079049929073932,0.5637279981151724,0.6739022982867412
22,Short,3,0.6019925838325233,0.7252195392457849,0.6977642507861055
29,Long,3,0.7210099191725406,0.4480251166590296,0.5833373890581246
30,Long,3,0.7554920112200824,0.7332705806523733,0.682907650907042
31,Long,3,0.5907080373855252,0.6251943779249397,0.5553907192171427
32,Long,3,0.6062701170775238,0.6804991785195601,0.5080249608706574
33,Long,3,0.7190490656075988,0.6837756624891244,0.8195857469298929
34,Long,3,0.7431604315106902,0.6975479633336487,0.6197363273233565
35,Long,3,0.7269426916027844,0.6014512181499927,0.6923550056547767
36,Long,3,0.70820534869432,0.8353858812057096,0.7528242788582072
37,Short,3,0.861206294032783,0.7862730509132375,0.7843560070297312
40,Long,2,0.8093910180922358,0.7210629015736684,0.6750350189126908
43,Long,2,0.7364977630661236,0.779866816419111,0.7109540897919848
44,Short,2,0.8372041120067167,0.6739932513964695,0.7621950159133395
45,Short,2,0.19432564080190254,3.524698271125896e-5,0.5524490866256886
46,Short,2,0.40221657306258396,0.47583250460447424,0.3600729457245818
47,Short,2,0.7003164362240271,0.5916473003317583,0.5034253524756968
48,Short,2,0.8635990175691993,0.7294208069881195,0.856094201785012
49,Short,2,0.7889213639805293,0.7997803553324088,0.6622158098070736
51,Short,2,0.45056224617448604,0.5310273319877837,0.4621028011182662
52,Short,2,0.5643391416468077,0.6796368297768111,0.832682857256457
53,Long,2,0.69465632393978,0.7809111645297722,0.8306155431353274
54,Short,2,0.8244050709648614,0.6459484475505985,0.8059529369518755
56,Short,2,0.6101545344282494,0.7714671967909656,0.5991608550327518
61,Short,2,0.763704898591549,0.6051697985335404,0.507838477419585
62,Short,2,0.6325717396931605,0.6047775292532811,0.6027917353216943
64,Long,2,0.43489451628826803,0.5909245372027079,0.48993090843248677
65,Long,2,0.6410585886919451,0.6717700266241123,0.38442993987551766
66,Long,2,0.6840927589101876,0.8642984213110496,0.42047526673314095
67,Long,2,0.44077863954976626,0.7350477027517701,0.5711998636254221
68,Long,2,0.7398322422525109,0.6845305698351494,0.7721616337172701
69,Long,2,0.7348080200139147,0.2512868192943679,0.23764756146206886
70,Short,2,0.5101825416588588,0.17890662857193435,0.01587459250529299
71,Long,2,0.769401798414453,0.8318472072290067,0.824116213961192
73,Long,2,0.6465145408966408,0.7016833201392493,0.7932680164324541
